Rk,Player,Pos,Age,Tm,eFG%,PTS,PER,TS%,WS,BPM
78,Shaquille Harrison,SG,29,LAL,0.75,1.8,24.7,0.75,0.1,5
79,Josh Hart,SG,27,NYK,0.546,12.1,13,0.569,0.8,1
80,Isaiah Hartenstein,C,24,NYK,0.474,3.3,12.7,0.535,0.5,1.8
81,Udonis Haslem,C,42,MIA,0,0,-31.3,0,0,-44
82,Sam Hauser,PF,25,BOS,0.567,2.1,7.3,0.567,0.1,-2.9
83,Tyler Herro,SG,23,MIA,0.667,12,19.6,0.667,0.1,2.8
84,Haywood Highsmith,SF,26,MIA,0.618,3.3,17,0.628,0.3,4.1
85,Aaron Holiday,PG,26,ATL,0,0,-4.9,0,0,-11.6
86,Jrue Holiday,PG,32,MIL,0.471,17.8,13.7,0.491,0.2,-1.4
87,Al Horford,C,36,BOS,0.567,7.8,15.2,0.575,1,4.9
88,Danuel House Jr.,SF,29,PHI,0.167,0.8,-2.8,0.233,-0.1,-14.8
89,Kevin Huerter,SG,24,SAC,0.403,9.1,6.8,0.424,0,-4.1
90,De'Andre Hunter,SF,25,ATL,0.541,16.7,10.8,0.559,0.1,-3.1
91,Bones Hyland,PG,22,LAC,0.398,8.6,8.1,0.444,-0.1,-6.8
92,Joe Ingles,SF,35,MIL,0.739,6.8,12.2,0.739,0.1,0.2
93,Jaren Jackson Jr.,C,23,MEM,0.464,18,14.1,0.546,0.3,-0.1
94,Reggie Jackson,PG,32,DEN,0,0,4.5,0,0,0.1
95,LeBron James,PF,38,LAL,0.525,22.1,20.6,0.556,1.1,5.8
96,DaQuan Jeffries,SG,25,NYK,0,0,-6.2,0,0,-20.1
97,Cameron Johnson,PF,26,BRK,0.618,18.5,16.4,0.637,0.3,3.2
98,Jalen Johnson,SF,21,ATL,0.5,4.3,13.9,0.523,0,1.8
99,Nikola Jokić,C,27,DEN,0.57,30.8,31.8,0.61,2.1,13.1
100,Tyus Jones,PG,26,MEM,0.347,4.5,8,0.362,0,-2.3
101,DeAndre Jordan,C,34,DEN,0.667,1.7,8.8,0.644,0,-4.9
102,Nikola Jović,PF,19,MIA,0,0,0,0,0,-2.4
103,Luke Kennard,SG,26,MEM,0.696,7.2,15,0.727,0.4,4.8
104,Nathan Knight,PF,25,MIN,0.25,1,-10.8,0.25,-0.1,-25.8
105,John Konchar,SG,26,MEM,0.222,0.8,5.4,0.222,0,-1.9
106,Furkan Korkmaz,SG,25,PHI,0,1,-0.8,0.532,0,-12.8
107,Luke Kornet,C,27,BOS,1,3,50.7,1,0.1,21.7
108,Jonathan Kuminga,PF,20,GSW,0.524,3.4,11.2,0.541,0,-3.5
109,Anthony Lamb,SF,25,GSW,0.375,0.8,1,0.375,0,-7.3
110,Jock Landale,C,27,PHO,0.588,5,18.5,0.609,0.3,0.8
111,Damion Lee,SG,30,PHO,0.3,1.8,2.5,0.346,0,-6.4
